"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validate that Dynamic Content function is clickable","509","Validate that Dynamic Content function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatDynamicContentIsClickable"
"Validate that Inputs function is clickable","329","Validate that Inputs function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatInputsIsClickable"
"Verify key press input field is displayed","403","Verify that the key press input field is displayed","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P31KeyPressesTest","smokeTest","Tests.P31KeyPressesTest","verifyInputFieldIsDisplayed"
"Verify page finishes loading despite JavaScript onload error","364","Verify that the document reaches complete ready state despite the JavaScript error","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P30JavaScriptOnLoadTest","smokeTest","Tests.P30JavaScriptOnLoadTest","verifyPageFinishesLoadingDespiteJavaScriptError"
"Validate that Form Authentication function is clickable","632","Validate that Form Authentication function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatFormAuthenticationIsClickable"
"Verify Entry Ad modal is displayed","960","Verify Entry Ad modal is displayed","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P15EntryAdTest","smokeTest","Tests.P15EntryAdTest","verifyEntryAdModalIsDisplayed"
"validate That Table is displayed","464","validate That Table is displayed","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P5ChallengingDomTest","smokeTest","Tests.P5ChallengingDomTest","validateTabelIsDisplayed"
"Verify window count after closing new window","805","Verify that only one browser window remains after closing the new window","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P33MultipleWindowsTest","smokeTest","Tests.P33MultipleWindowsTest","verifyWindowCountAfterClosingNewWindow"
"Verify Typos page header","365","Verify that the Typos page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P43TyposTest","smokeTest","Tests.P43TyposTest","verifyTyposPageHeader"
"Validate that JavaScript Alerts function is clickable","345","Validate that JavaScript Alerts function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatJavaScriptAlertsIsClickable"
"Verify switching back to original window","851","Verify that Selenium can close the new window and switch back to the original window","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P33MultipleWindowsTest","smokeTest","Tests.P33MultipleWindowsTest","verifySwitchBackToOriginalWindow"
"Verify status code 200","684","Verify that status code 200 opens the correct page","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P42StatusCodesTest","smokeTest","Tests.P42StatusCodesTest","verifyStatusCode200"
"Validate that Shadow DOM function is clickable","310","Validate that Shadow DOM function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatShadowDOMIsClickable"
"Verify Horizontal Slider page header","373","Verify that the Horizontal Slider page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P24HorizontalSliderTest","smokeTest","Tests.P24HorizontalSliderTest","verifyHorizontalSliderPageHeader"
"Verify password retrieval request can be submitted","1014","Verify that a password retrieval request can be submitted using a valid email format","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P20ForgotPasswordTest","smokeTest","Tests.P20ForgotPasswordTest","verifyPasswordRetrievalRequestCanBeSubmitted"
"Verify Floating Menu contains the correct number of menu items","550","Verify that the Floating Menu contains four menu items","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P19FloatingMenuTest","smokeTest","Tests.P19FloatingMenuTest","verifyFloatingMenuItemsCount"
"Verify number input can be cleared","580","Verify that the number input can be cleared","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P27InputsTest","smokeTest","Tests.P27InputsTest","verifyNumberInputCanBeCleared"
"Verify that the Exit Intent modal contains the expected content","2102","Verify that the Exit Intent modal contains the expected content","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P16ExitIntentTest","smokeTest","Tests.P16ExitIntentTest","verifyExitIntentModalContent"
"Verify Left nested frame content","955","Verify that the Left nested frame displays the correct text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P22FramesTest","smokeTest","Tests.P22FramesTest","verifyLeftFrameText"
"validate That First Check Box is displayed and named checkbox 1","461","validate That First Check Box is displayed and named checkbox 1","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P6CheckBoxesTest","smokeTest","Tests.P6CheckBoxesTest","validateFirstCheckBoxIsDisplayedAndItsName"
"validate Disappering Elements Page Header text is Disappearing Elements","398","validate Disappering Elements Page Header text is Disappearing Elements","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P9DisappearingElementsTest","smokeTest","Tests.P9DisappearingElementsTest","validateDisappearingElementsHeaderText"
"Verify number can be decreased using Arrow Down","599","Verify that the number value decreases when Arrow Down is pressed","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P27InputsTest","smokeTest","Tests.P27InputsTest","verifyNumberCanBeDecreased"
"Verify Where am I button is displayed","396","Verify that the Where am I button is displayed","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P23GeoLocationTest","smokeTest","Tests.P23GeoLocationTest","verifyWhereAmIButtonIsDisplayed"
"Verify displayed slider value matches the slider value attribute","697","Verify that the displayed slider value matches the actual slider value","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P24HorizontalSliderTest","smokeTest","Tests.P24HorizontalSliderTest","verifyDisplayedValueMatchesSliderValue"
"Validate Deleting Multiple elements functionality","1759","Validate Delete Multiple elements functionality","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P2AddRemoveTest","smokeTest","Tests.P2AddRemoveTest","validateDeleteMultipleElementsFunctionality"
"Verify editor is displayed","852","Verify that the TinyMCE editor is displayed inside the iframe","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P44WysiwygEditorTest","smokeTest","Tests.P44WysiwygEditorTest","verifyEditorIsDisplayed"
"Verify JavaScript onload event error message text","374","Verify that the JavaScript onload event error message contains the expected text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P30JavaScriptOnLoadTest","smokeTest","Tests.P30JavaScriptOnLoadTest","verifyJavaScriptOnLoadErrorMessageText"
"Validate that Context menu function is clickable","317","Validate that Context menu function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatContextMenuIsClickable"
"Verify table cell values","827","Verify that sortable table cells contain the expected values","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P41SortableDataTablesTest","smokeTest","Tests.P41SortableDataTablesTest","verifyTableCellValues"
"Verify Click here link is displayed","809","Verify that the Click here link is displayed","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P35NotificationMessagesTest","smokeTest","Tests.P35NotificationMessagesTest","verifyClickHereLinkIsDisplayed"
"Verify left nested frame text","693","Verify that the left nested frame displays the correct text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P34NestedFramesTest","smokeTest","Tests.P34NestedFramesTest","verifyLeftFrameText"
"Validate that File Upload function is clickable","630","Validate that File Upload function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatFileUploadIsClickable"
"Verify text can be replaced in editor","874","Verify that existing WYSIWYG Editor text can be replaced","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P44WysiwygEditorTest","smokeTest","Tests.P44WysiwygEditorTest","verifyEditorTextCanBeReplaced"
"Verify status code 404","721","Verify that status code 404 opens the correct page","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P42StatusCodesTest","smokeTest","Tests.P42StatusCodesTest","verifyStatusCode404"
"Verify file can be downloaded","774","Verify that a downloadable file can be successfully downloaded","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P17FileDownloadTest","smokeTest","Tests.P17FileDownloadTest","verifyFileCanBeDownloaded"
"Verify Right nested frame content","1011","Verify that the Right nested frame displays the correct text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P22FramesTest","smokeTest","Tests.P22FramesTest","verifyRightFrameText"
"Verify Tab key press","494","Verify that pressing Tab displays the correct result","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P31KeyPressesTest","smokeTest","Tests.P31KeyPressesTest","verifyTabKeyPress"
"Verify modal close button","1204","Verify modal close button","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P15EntryAdTest","smokeTest","Tests.P15EntryAdTest","verifyModalCanBeClosed"
"Validate that Basic Auth function is clickable","377","validate That Basic Auth Is Clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatBasicAuthIsClickable"
"Validate that Secure File Download function is clickable","379","Validate that Secure File Download function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatSecureFileDownloadIsClickable"
"Verify all nested frame texts","983","Verify that all nested frames display the expected text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P34NestedFramesTest","smokeTest","Tests.P34NestedFramesTest","verifyAllNestedFrameTexts"
"validate Digest Auth Successful Login ,Expected Header text and success message text","856","validate Digest Auth Successful Login ,Expected Header text and success message text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P8DigestAuthTest","smokeTest","Tests.P8DigestAuthTest","validateDigestAuthSuccessfulLogin"
"validate that Disappering Elements Page contains 4 or 5 buttons","356","validate that Disappering Elements Page contains 4 or 5 buttons","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P9DisappearingElementsTest","smokeTest","Tests.P9DisappearingElementsTest","validateDisappearingElementsButtonsCount"
"Verify Inputs page header","404","Verify that the Inputs page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P27InputsTest","smokeTest","Tests.P27InputsTest","verifyInputsPageHeader"
"validate Dynamic Controls Page Header ,first sub header and second sub header","623","validate Dynamic Controls Page Header ,first sub header and second sub header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P13DynamicControlsTest","smokeTest","Tests.P13DynamicControlsTest","validateDynamicControlsHeaderAndSubHeaders"
"Verify JavaScript Confirm can be dismissed","583","Verify that dismissing the JavaScript Confirm displays the correct result","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P29JavaScriptAlertsTest","smokeTest","Tests.P29JavaScriptAlertsTest","verifyJavaScriptConfirmCanBeDismissed"
"Validate that WYSIWYG Editor function is clickable","994","Validate that WYSIWYG Editor function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatWYSIWYGEditorIsClickable"
"Verify Slow Resources page URL","345","Verify that the Slow Resources page has the correct URL","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P40SlowResourcesTest","smokeTest","Tests.P40SlowResourcesTest","verifySlowResourcesPageUrl"
"Validate functionality of adding multiple elements","932","Validate functionality of adding multiple elements","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P2AddRemoveTest","smokeTest","Tests.P2AddRemoveTest","validateAddMultipleElementsfunctionality"
"Validate that Notification Messages function is clickable","732","Validate that Notification Messages function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatNotificationMessagesIsClickable"
"validate that Clicking Contact us button navigates to Not found page","643","validate that Clicking Contact us button navigates to Not found page","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P9DisappearingElementsTest","smokeTest","Tests.P9DisappearingElementsTest","validateContactUsButtonNavigatesToNotFoundPage"
"Verify initial content is displayed","486","Verify that initial content is displayed on the Infinite Scroll page","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P26InfiniteScrollTest","smokeTest","Tests.P26InfiniteScrollTest","verifyInitialContentIsDisplayed"
"Verify first secure file has a valid name","924","Verify that the first secure downloadable file has a non-empty name","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P37SecureFileDownloadTest","smokeTest","Tests.P37SecureFileDownloadTest","verifyFirstSecureDownloadFileName"
"Verify Form Authentication page header","671","Verify that the Form Authentication page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P21FormAuthenticationTest","smokeTest","Tests.P21FormAuthenticationTest","verifyFormAuthenticationPageHeader"
"validate the functionality of selecting options from dropdown list","717","validate the functionality of selecting options from dropdown list","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P11DropDownTest","smokeTest","Tests.P11DropDownTest","validateDropDownListFunctionality"
"Verify Multiple Windows page header","373","Verify that the Multiple Windows page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P33MultipleWindowsTest","smokeTest","Tests.P33MultipleWindowsTest","verifyMultipleWindowsPageHeader"
"validate input field is displayed, not enabled and it's button text","592","validate input field is displayed, not enabled and it's button text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P13DynamicControlsTest","smokeTest","Tests.P13DynamicControlsTest","validateInputFieldAndItsButtonAreDisplayed"
"Validate that Frames function is clickable","303","Validate that Frames function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatFramesIsClickable"
"Verify last table cell value","630","Verify that the last cell of the large table can be located","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P32LargeDeepDomTest","smokeTest","Tests.P32LargeDeepDomTest","verifyLastTableCellValue"
"Verify Floating Menu remains visible after scrolling","684","Verify that the Floating Menu remains displayed after scrolling to the bottom of the page","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P19FloatingMenuTest","smokeTest","Tests.P19FloatingMenuTest","verifyFloatingMenuRemainsVisibleAfterScrolling"
"Validate that Check boxes function is clickable","309","Validate that Check boxes function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatCheckBoxesIsClickable"
